NC_011742	NC_007779	NC_011750	NC_008563	NC_010468	NC_011745	NC_002695	NC_011601	NC_007606	NC_004741	NC_009800	NC_010658	NC_008258	NC_004431	NC_007384	NC_009801	NC_011741	NC_004337	NC_010498	NC_007613	NC_011415	NC_011751	NC_007946	NC_002655	NC_000913	NC_011748	NC_008253
0.000604648	0.021705277	0.018465801	0.000934131	0.021853391	0.007338548	0.022396957	0.010158746	0.023392917	0.022887134	0.022057124	0.022517498	0.022926528	0.007139247	0.022315557	0.0222423	0.02220256	0.023053623	0.018739667	0.022914088	0.022317716	0.021138777	0.001251297	0.022519755	0.021704075	0.021684442	0.007834394
0.021705277	0.000608067	0.019762815	0.022322078	0.006175427	0.022055991	0.0139285	0.022199635	0.015219371	0.012667566	0.00698719	0.011305584	0.012682904	0.022218714	0.011128969	0.010362628	0.010187613	0.012767989	0.020047346	0.011315518	0.010103432	0.018329143	0.022361419	0.013996337	4.20E-06	0.010313626	0.022275941
0.018465801	0.019762815	0.0005982	0.018191917	0.019802965	0.018718768	0.02088886	0.018570899	0.021378232	0.020788546	0.019819039	0.020803547	0.020889003	0.017786529	0.020397911	0.020260518	0.020251963	0.020926868	0.01074641	0.020995003	0.020351791	0.016792136	0.018162267	0.02098803	0.019772978	0.019837225	0.017819349
0.000934131	0.022322078	0.018191917	0.000655903	0.022468922	0.0070765	0.022823931	0.009883247	0.023727882	0.023254161	0.022416818	0.022921528	0.023304107	0.006601332	0.022704905	0.022866495	0.022613613	0.023428221	0.018605026	0.023334512	0.022685725	0.021707347	0.000783602	0.022951655	0.022389396	0.022125773	0.00739279
0.021853391	0.006175427	0.019802965	0.022468922	0.00064651	0.022176598	0.014141493	0.022250218	0.015316005	0.01264264	0.004764676	0.011016505	0.012656424	0.022260895	0.010860796	0.010137151	0.010040307	0.01273018	0.020167799	0.011145658	0.010036438	0.018935414	0.022413641	0.014220062	0.006191952	0.010164142	0.022387913
0.007338548	0.022055991	0.018718768	0.0070765	0.022176598	0.000606106	0.023307517	0.01013832	0.023708983	0.023299772	0.022452788	0.02283611	0.023395252	0.00723014	0.022446977	0.022377849	0.02240266	0.023433795	0.018893031	0.023064623	0.022501138	0.021856308	0.00708448	0.023363413	0.022107044	0.022129622	0.007567709
0.022396957	0.0139285	0.02088886	0.022823931	0.014141493	0.023307517	0.000604714	0.022305182	0.012246095	0.015740994	0.014152942	0.015689263	0.01579908	0.022960013	0.015247588	0.014837822	0.014806756	0.015934682	0.020920949	0.015537457	0.01493777	0.020144993	0.022872688	0.000294303	0.013950381	0.015182283	0.022738823
0.010158746	0.022199635	0.018570899	0.009883247	0.022250218	0.01013832	0.022305182	0.000604713	0.02359125	0.02300623	0.022302601	0.022849772	0.02307048	0.009613861	0.022448836	0.022449706	0.02227745	0.023164092	0.018541471	0.023132976	0.02242993	0.021311484	0.009716113	0.022232274	0.022199464	0.022273654	0.009823837
0.023392917	0.015219371	0.021378232	0.023727882	0.015316005	0.023708983	0.012246095	0.02359125	0.000670997	0.017067417	0.015352079	0.016080052	0.017025182	0.02342672	0.015557716	0.01588852	0.015886662	0.017145744	0.02171289	0.017127152	0.015879064	0.02063988	0.023478228	0.012248012	0.01515511	0.015890427	0.023473499
0.022887134	0.012667566	0.020788546	0.023254161	0.01264264	0.023299772	0.015740994	0.02300623	0.017067417	0.000617324	0.012484145	0.011532534	0.001191294	0.0226159	0.011016546	0.011707048	0.011286433	0.000292753	0.021477341	0.010894811	0.011526189	0.020016242	0.023135468	0.015687444	0.012686503	0.01156207	0.02284293
0.022057124	0.00698719	0.019819039	0.022416818	0.004764676	0.022452788	0.014152942	0.022302601	0.015352079	0.012484145	0.000601538	0.010584156	0.012389629	0.022187267	0.01027027	0.009117672	0.008983146	0.012444393	0.019986577	0.010770699	0.008898849	0.018898434	0.022352821	0.014223429	0.006973373	0.00904895	0.022317614
0.022517498	0.011305584	0.020803547	0.022921528	0.011016505	0.02283611	0.015689263	0.022849772	0.016080052	0.011532534	0.010584156	0.000606079	0.011826253	0.022875666	0.009326217	0.009294186	0.008832631	0.011954819	0.021109254	0.003035382	0.0093191	0.019846707	0.022813243	0.015705996	0.011283059	0.009361115	0.023089695
0.022926528	0.012682904	0.020889003	0.023304107	0.012656424	0.023395252	0.01579908	0.02307048	0.017025182	0.001191294	0.012389629	0.011826253	0.000605034	0.022719873	0.011103695	0.011676097	0.011323368	0.001208499	0.0215443	0.010820502	0.011560794	0.020121073	0.023213069	0.015730742	0.012700037	0.011727771	0.022935237
0.007139247	0.022218714	0.017786529	0.006601332	0.022260895	0.00723014	0.022960013	0.009613861	0.02342672	0.0226159	0.022187267	0.022875666	0.022719873	0.00061438	0.022518374	0.022562968	0.022375146	0.022920098	0.018844667	0.02314943	0.022441189	0.021229072	0.006553453	0.02305709	0.022272003	0.021937082	0.007007374
0.022315557	0.011128969	0.020397911	0.022704905	0.010860796	0.022446977	0.015247588	0.022448836	0.015557716	0.011016546	0.01027027	0.009326217	0.011103695	0.022518374	0.000628156	0.009173802	0.008877759	0.011353392	0.020436387	0.009322448	0.0091042	0.019310204	0.022596783	0.015213539	0.01110404	0.009114973	0.022570069
0.0222423	0.010362628	0.020260518	0.022866495	0.010137151	0.022377849	0.014837822	0.022449706	0.01588852	0.011707048	0.009117672	0.009294186	0.011676097	0.022562968	0.009173802	0.000625741	0.005383735	0.011831121	0.020289621	0.009252871	0.005434293	0.019149195	0.022805375	0.014889136	0.010390205	0.005772545	0.022700479
0.02220256	0.010187613	0.020251963	0.022613613	0.010040307	0.02240266	0.014806756	0.02227745	0.015886662	0.011286433	0.008983146	0.008832631	0.011323368	0.022375146	0.008877759	0.005383735	0.000626207	0.011450234	0.020188761	0.008909023	0.004929954	0.019014346	0.022532094	0.014797424	0.010192166	0.005235636	0.022401528
0.023053623	0.012767989	0.020926868	0.023428221	0.01273018	0.023433795	0.015934682	0.023164092	0.017145744	0.000292753	0.012444393	0.011954819	0.001208499	0.022920098	0.011353392	0.011831121	0.011450234	0.000603748	0.021604071	0.010967898	0.011687444	0.020187967	0.023327674	0.015895487	0.012792937	0.011688081	0.02298923
