Species1.fasta,Species10.fasta,Species11.fasta,Species12.fasta,Species13.fasta,Species14.fasta,Species15.fasta,Species16.fasta,Species17.fasta,Species18.fasta,Species19.fasta,Species2.fasta,Species20.fasta,Species21.fasta,Species22.fasta,Species23.fasta,Species24.fasta,Species25.fasta,Species26.fasta,Species27.fasta,Species28.fasta,Species29.fasta,Species3.fasta,Species30.fasta,Species31.fasta,Species32.fasta,Species33.fasta,Species4.fasta,Species5.fasta,Species6.fasta,Species7.fasta,Species8.fasta,Species9.fasta
0.000692144,0.938772898,0.956914465,0.952089879,0.952940465,0.955410645,0.947469476,0.964084568,0.968797482,0.976468015,0.964240181,0.965660942,0.958635644,0.957661418,0.976878784,0.965505531,0.971642967,0.9450562,0.949844904,0.947369957,0.957511661,0.936877307,0.973117671,0.940775502,0.957905687,0.956889904,0.967782265,0.962934682,0.952552322,0.941902522,0.968905255,0.968372043,0.969632066
0.938772898,0.000682543,0.967623485,0.965989319,0.965457723,0.965805557,0.957260638,0.969251089,0.959879242,0.958717606,0.957424711,0.958146632,0.95649372,0.964775179,0.958802924,0.968778559,0.962366588,0.734642976,0.961375588,0.959026063,0.965142702,0.844001238,0.96907904,0.852330445,0.966527478,0.965956504,0.973217758,0.970681805,0.96871293,0.718612052,0.973562604,0.972250343,0.961546223
0.956914465,0.967623485,0.000724729,0.72003367,0.721551072,0.7063997,0.701666311,0.91142557,0.940773137,0.923493875,0.93719098,0.933215948,0.969974144,0.935776527,0.929435145,0.95228107,0.894518301,0.968352828,0.700020572,0.698103059,0.295349842,0.957917701,0.951925716,0.964020329,0.232951163,0.930295761,0.956671942,0.908887827,0.713790429,0.964368447,0.949606918,0.95902074,0.90130464
0.952089879,0.965989319,0.72003367,0.00072302,0.682810338,0.699843489,0.667534366,0.910841828,0.940806716,0.922896833,0.938634674,0.932209785,0.969407531,0.935050223,0.927914812,0.948725248,0.893827786,0.965659576,0.688979917,0.659737677,0.719166244,0.956003291,0.951175065,0.964002216,0.724324064,0.929187345,0.954064417,0.908504264,0.679824861,0.963731665,0.948975841,0.954331955,0.901481425
0.952940465,0.965457723,0.721551072,0.682810338,0.000724423,0.645135891,0.603344044,0.915165594,0.942028961,0.924835989,0.937839306,0.931203622,0.969102431,0.936611727,0.927653354,0.955783621,0.898066374,0.971251001,0.53561158,0.598027021,0.721919572,0.95643811,0.952161458,0.96368826,0.726771731,0.935355996,0.957440343,0.914058824,0.664751469,0.967242895,0.954851168,0.959112677,0.901141454
0.955410645,0.965805557,0.7063997,0.699843489,0.645135891,0.000694749,0.603257985,0.908113171,0.939403148,0.921545507,0.93610821,0.929093684,0.964893301,0.934300088,0.926586295,0.945502368,0.889464318,0.967334076,0.612451826,0.60116602,0.708175749,0.954155312,0.947148842,0.965010498,0.70845873,0.92854703,0.95235126,0.908603707,0.674624112,0.966487088,0.95044625,0.953327215,0.896041884
0.947469476,0.957260638,0.701666311,0.667534366,0.603344044,0.603257985,0.000716373,0.90194315,0.934017209,0.915124439,0.932338566,0.92275636,0.966767484,0.92765604,0.919183696,0.945628886,0.883007267,0.96237498,0.602508437,0.25362091,0.7011251,0.950018495,0.943941511,0.959993238,0.705276763,0.924814528,0.949901194,0.901067406,0.640329596,0.957369791,0.947013191,0.952112334,0.888365333
0.964084568,0.969251089,0.91142557,0.910841828,0.915165594,0.908113171,0.90194315,0.000705921,0.939671773,0.936316076,0.939510247,0.938454203,0.967483535,0.942988388,0.938813951,0.949184708,0.73193156,0.970443025,0.901535887,0.900680637,0.910366689,0.957658018,0.949183666,0.96822251,0.910488867,0.941603697,0.953793587,0.613825532,0.912742385,0.968504558,0.950894315,0.956610678,0.717826713
0.968797482,0.959879242,0.940773137,0.940806716,0.942028961,0.939403148,0.934017209,0.939671773,0.000684995,0.945386779,0.505633579,0.949704932,0.961773812,0.944681637,0.959993284,0.50550603,0.939665058,0.964453467,0.934070934,0.9323383,0.94053809,0.961221116,0.640504488,0.963633921,0.941532004,0.941793914,0.632998732,0.943586988,0.938677859,0.960964339,0.951329758,0.909105535,0.937824974
0.976468015,0.958717606,0.923493875,0.922896833,0.924835989,0.921545507,0.915124439,0.936316076,0.945386779,0.000693682,0.946735398,0.916771945,0.960167369,0.911306172,0.567684264,0.945255991,0.946828497,0.96263845,0.914657376,0.915849652,0.921193591,0.978680295,0.954891101,0.963923727,0.92383861,0.196540654,0.950096444,0.935389183,0.924087128,0.963237712,0.930914415,0.949347658,0.938551892
0.964240181,0.957424711,0.93719098,0.938634674,0.937839306,0.93610821,0.932338566,0.939510247,0.505633579,0.946735398,0.000681744,0.945398645,0.957564682,0.942611514,0.94501767,0.467231004,0.943814592,0.962398399,0.932017745,0.931128805,0.937578639,0.961843148,0.635448445,0.96024078,0.938320537,0.940258829,0.628287552,0.941408437,0.934985337,0.958970674,0.94913361,0.904771364,0.941969873
0.965660942,0.958146632,0.933215948,0.932209785,0.931203622,0.929093684,0.92275636,0.938454203,0.949704932,0.916771945,0.945398645,0.000705816,0.961456259,0.3628343,0.922140649,0.949178049,0.938167674,0.965366831,0.921705146,0.921472377,0.931083483,0.970340231,0.959643161,0.964714655,0.930788501,0.908895342,0.951916673,0.937981784,0.929987216,0.964255374,0.756762385,0.948730367,0.937083216
0.958635644,0.95649372,0.969974144,0.969407531,0.969102431,0.964893301,0.966767484,0.967483535,0.961773812,0.960167369,0.957564682,0.961456259,0.000691144,0.966026528,0.959314335,0.972962876,0.960105104,0.960993224,0.967085037,0.965372743,0.969600553,0.949100544,0.965164484,0.961182648,0.96930168,0.966281816,0.972464754,0.968635442,0.967620518,0.95664374,0.968816011,0.975160839,0.959507357
0.957661418,0.964775179,0.935776527,0.935050223,0.936611727,0.934300088,0.92765604,0.942988388,0.944681637,0.911306172,0.942611514,0.3628343,0.966026528,0.000711862,0.914199547,0.953239943,0.929146902,0.969816551,0.926829362,0.927288628,0.935241648,0.965122406,0.956026384,0.969858705,0.936648068,0.912653352,0.957704874,0.940531767,0.934177617,0.97024232,0.76138818,0.953471688,0.934696618
0.976878784,0.958802924,0.929435145,0.927914812,0.927653354,0.926586295,0.919183696,0.938813951,0.959993284,0.567684264,0.94501767,0.922140649,0.959314335,0.914199547,0.000697222,0.945455756,0.936176933,0.962404254,0.917847025,0.917931866,0.927772676,0.9775087,0.956020181,0.962172818,0.9290603,0.560003645,0.948786383,0.937861033,0.927764276,0.962541417,0.93038431,0.949157217,0.94165923
0.965505531,0.968778559,0.95228107,0.948725248,0.955783621,0.945502368,0.945628886,0.949184708,0.50550603,0.945255991,0.467231004,0.949178049,0.972962876,0.953239943,0.945455756,0.000699178,0.94457013,0.976116419,0.946707619,0.946774207,0.948891719,0.962030362,0.632104632,0.973692592,0.953746015,0.953812604,0.634126141,0.952414247,0.948805154,0.971277835,0.96051193,0.916703469,0.940468283
0.971642967,0.962366588,0.894518301,0.893827786,0.898066374,0.889464318,0.883007267,0.73193156,0.939665058,0.946828497,0.943814592,0.938167674,0.960105104,0.929146902,0.936176933,0.94457013,0.000719899,0.962790677,0.884241379,0.882147796,0.89511332,0.96643894,0.952992759,0.962347909,0.895194125,0.928889795,0.946985049,0.73400445,0.893122579,0.962434295,0.943984021,0.948644997,0.334450139
0.9450562,0.734642976,0.968352828,0.965659576,0.971251001,0.967334076,0.96237498,0.970443025,0.964453467,0.96263845,0.962398399,0.965366831,0.960993224,0.969816551,0.962404254,0.976116419,0.962790677,0.000673313,0.961889023,0.961619698,0.964125593,0.858643801,0.970565978,0.866061954,0.967691225,0.970407896,0.975893933,0.97185991,0.969652614,0.363600702,0.974804922,0.974248707,0.961356228
0.949844904,0.961375588,0.700020572,0.688979917,0.53561158,0.612451826,0.602508437,0.901535887,0.934070934,0.914657376,0.932017745,0.921705146,0.967085037,0.926829362,0.917847025,0.946707619,0.884241379,0.961889023,0.000717476,0.602352464,0.698987848,0.95097268,0.944127623,0.961895087,0.704008426,0.927735719,0.951280537,0.901351527,0.666122061,0.958940918,0.945574335,0.95109446,0.889079273
0.947369957,0.959026063,0.698103059,0.659737677,0.598027021,0.60116602,0.25362091,0.900680637,0.9323383,0.915849652,0.931128805,0.921472377,0.965372743,0.927288628,0.917931866,0.946774207,0.882147796,0.961619698,0.602352464,0.000713175,0.698478254,0.949420619,0.943426601,0.959461928,0.701182483,0.925724525,0.949561082,0.90022925,0.638087615,0.957869695,0.946786003,0.951573846,0.887603797
0.957511661,0.965142702,0.295349842,0.719166244,0.721919572,0.708175749,0.7011251,0.910366689,0.94053809,0.921193591,0.937578639,0.931083483,0.969600553,0.935241648,0.927772676,0.948891719,0.89511332,0.964125593,0.698987848,0.698478254,0.000722558,0.957386256,0.950765618,0.964919934,0.29564853,0.927833523,0.95463127,0.907048146,0.712959847,0.96346981,0.947568539,0.955763545,0.900536305
0.936877307,0.844001238,0.957917701,0.956003291,0.95643811,0.954155312,0.950018495,0.957658018,0.961221116,0.978680295,0.961843148,0.970340231,0.949100544,0.965122406,0.9775087,0.962030362,0.96643894,0.858643801,0.95097268,0.949420619,0.957386256,0.000682424,0.970020156,0.18789669,0.956697793,0.961009746,0.963268387,0.9587813,0.955701334,0.851294915,0.965569303,0.962616159,0.956256936
0.973117671,0.96907904,0.951925716,0.951175065,0.952161458,0.947148842,0.943941511,0.949183666,0.640504488,0.954891101,0.635448445,0.959643161,0.965164484,0.956026384,0.956020181,0.632104632,0.952992759,0.970565978,0.944127623,0.943426601,0.950765618,0.970020156,0.000694818,0.968627031,0.951541085,0.952111829,0.143659862,0.951193676,0.949599316,0.967248847,0.956491665,0.917296475,0.95259572
0.940775502,0.852330445,0.964020329,0.964002216,0.96368826,0.965010498,0.959993238,0.96822251,0.963633921,0.963923727,0.96024078,0.964714655,0.961182648,0.969858705,0.962172818,0.973692592,0.962347909,0.866061954,0.961895087,0.959461928,0.964919934,0.18789669,0.968627031,0.000688288,0.96639915,0.970752272,0.975328786,0.970063984,0.964781068,0.850723596,0.972732611,0.973571839,0.96011399
0.957905687,0.966527478,0.232951163,0.724324064,0.726771731,0.70845873,0.705276763,0.910488867,0.941532004,0.92383861,0.938320537,0.930788501,0.96930168,0.936648068,0.9290603,0.953746015,0.895194125,0.967691225,0.704008426,0.701182483,0.29564853,0.956697793,0.951541085,0.96639915,0.000712049,0.931522801,0.957276585,0.909683365,0.715734977,0.963773323,0.95338707,0.95530386,0.899910758
0.956889904,0.965956504,0.930295761,0.929187345,0.935355996,0.92854703,0.924814528,0.941603697,0.941793914,0.196540654,0.940258829,0.908895342,0.966281816,0.912653352,0.560003645,0.953812604,0.928889795,0.970407896,0.927735719,0.925724525,0.927833523,0.961009746,0.952111829,0.970752272,0.931522801,0.000684511,0.956728627,0.941547499,0.932553528,0.9679868,0.936751878,0.957241103,0.930616963
